Dana Meadows Survey Date [yyyy-mm-dd], Dana Meadows SWE [mm]
1970-02-03,  627
1970-03-31,  678
1971-02-02,  551
1971-03-30,  655
1972-02-01,  579
1972-03-30,  536
1973-01-30,  521
1973-03-28,  800
1973-05-02,  803
1974-01-29,  681
1974-03-05,  871
1974-03-26,  848
1975-01-29,  328
1975-02-28,  617
1975-03-27,  833
1975-05-28,  780
1976-03-05,  356
1976-03-25,  302
1976-04-28,  302
1977-01-24,   89
1977-02-25,  165
1977-03-23,  168
1977-04-25,   48
1978-01-25,  772
1978-02-28, 1067
1978-03-29, 1181
1979-01-24,  467
1979-03-02,  726
1979-03-29,  823
1980-01-24,  663
1980-03-25, 1135
1980-05-07, 1011
1981-02-06,  305
1981-02-26,  358
1981-03-28,  673
1982-01-30,  757
1982-02-25,  879
1982-04-08, 1265
1983-02-01,  914
1983-03-08, 1364
1983-03-28, 1593
1983-05-24, 1565
1984-01-31,  747
1984-02-27,  927
1984-03-29,  927
1984-04-28,  963
1985-01-30,  511
1985-02-26,  561
1985-03-26,  638
1985-04-27,  554
1986-01-29,  442
1986-02-27, 1057
1986-04-01, 1217
1986-04-26, 1265
1987-01-28,  142
1987-03-02,  290
1987-04-01,  470
1987-04-30,  218
1988-01-27,  533
1988-02-28,  500
1988-03-30,  500
1988-04-27,  371
1989-02-01,  437
1989-02-28,  470
1989-03-30,  668
1989-04-29,  538
1990-02-01,  137
1990-02-25,  368
1990-04-01,  386
1990-04-26,  264
1991-01-01,    0
1991-01-29,   64
1991-02-27,   94
1991-03-27,  544
1991-04-25,  503
1992-01-30,  239
1992-02-26,  404
1992-03-28,  439
1992-04-25,  307
1993-01-25,  721
1993-02-24,  950
1993-03-27, 1044
1993-04-24, 1077
1994-01-31,  180
1994-02-25,  351
1994-03-29,  447
1994-04-28,  333
1995-01-28,  813
1995-02-22,  848
1995-03-26, 1334
1995-04-27, 1328
1996-01-26,  417
1996-02-23,  792
1996-03-25,  907
1996-04-27,  953
1997-01-30, 1227
1997-02-23, 1113
1997-03-30, 1016
1997-04-26,  975
1998-01-25,  485
1998-02-26, 1049
1998-03-26, 1148
1998-04-24, 1209
1999-01-27,  457
1999-02-26,  747
1999-03-28,  838
1999-04-25,  881
2000-01-30,  312
2000-02-25,  572
2000-03-27,  719
2000-05-01,  566
2001-02-01,  249
2001-02-26,  434
2001-03-27,  533
2001-04-25,  584
2002-01-31,  561
2002-02-24,  660
2002-03-27,  721
2002-04-30,  572
2003-01-30,  544
2003-02-25,  566
2003-03-30,  617
2003-04-30,  744
2004-01-27,  508
2004-02-29,  747
2004-03-29,  696
2004-04-29,  475
2005-01-27,  696
2005-02-24,  889
2005-03-27, 1024
2005-04-29, 1090
2006-01-27,  795
2006-02-26,  874
2006-03-30, 1209
2006-04-28, 1382
2007-01-25,  236
2007-02-26,  429
2007-03-30,  511
2007-04-25,  427
2008-01-26,  470
2008-02-29,  673
2008-03-28,  805
2008-04-25,  683
2009-01-27,  386
2009-02-22,  551
2009-03-26,  673
2009-04-28,  663
2010-01-29,  457
2010-02-23,  597
2010-03-28,  757
2010-04-26,  876
2011-02-01,  668
2011-03-01,  940
2011-04-01, 1194
2011-05-01, 1199
2011-06-01,  864
2012-02-01,  182
2012-03-01,  201
2012-04-01,  376
2012-05-01,  305
2013-02-01,  483
2013-03-01,  483
2013-04-01,  450
2013-05-01,  318
2014-02-01,   76
2014-03-01,  267
2014-04-01,  406
2014-05-01,  305
2015-01-28,  127
2015-02-26,  178
2015-03-27,  102
2015-04-24,    0
