station_m,elevation_m,
0.0000,2606.49,
0.0000,2606.41,
0.0000,2606.37,
0.0000,2606.36,
0.0110,2606.42,
0.2180,2606.40,
0.6069,2606.39,
0.8140,2606.38,
1.0210,2606.40,
1.2029,2606.40,
1.4099,2606.40,
1.6170,2606.34,
2.0059,2606.37,
2.2129,2606.37,
2.4200,2606.34,
2.8089,2606.34,
3.0159,2606.41,
3.4049,2606.40,
3.6119,2606.35,
3.8189,2606.35,
4.2079,2606.30,
4.4149,2606.44,
4.6219,2606.22,
4.8039,2606.30,
5.0109,2606.30,
5.2179,2606.32,
5.6069,2606.39,
5.8139,2606.27,
6.0209,2606.24,
6.2029,2606.32,
6.4099,2606.31,
6.6169,2606.23,
7.0059,2606.29,
7.2129,2606.27,
7.4199,2606.22,
7.8089,2606.26,
8.0159,2606.13,
8.4048,2606.25,
8.6119,2606.20,
8.8189,2606.16,
9.2078,2606.17,
9.4149,2606.13,
9.6219,2606.30,
9.8038,2606.21,
10.0108,2606.16,
10.2179,2606.15,
10.6068,2606.16,
10.8138,2606.22,
11.0209,2606.21,
11.2028,2606.19,
11.4098,2606.11,
11.6168,2606.18,
12.0058,2606.16,
12.2128,2606.18,
12.4198,2606.23,
12.8088,2606.16,
13.0158,2606.23,
13.4048,2606.14,
13.6118,2606.16,
13.8188,2606.33,
14.2078,2606.16,
14.4148,2606.19,
14.6218,2606.38,
14.6912,2606.38,
16.9414,2606.23,
19.1497,2606.11,
20.1915,2605.96,
20.6002,2605.90,
22.7447,2605.94,
24.8049,2605.79,
25.8220,2605.60,
27.2079,2605.55,
28.2704,2605.84,
29.2046,2605.92,
29.5648,2606.04,
31.2684,2606.29,
33.1571,2606.35,
35.6347,2606.48,
36.0205,2606.55,
36.4095,2606.35,
36.6165,2606.48,
37.0055,2606.12,
37.2125,2606.45,
37.4195,2606.60,
37.8085,2606.26,
38.0155,2606.58,
38.2225,2606.59,
38.4045,2606.09,
38.6115,2606.45,
38.8185,2606.55,
39.2075,2606.09,
39.4145,2606.47,
39.6215,2606.55,
39.8034,2606.07,
40.0105,2606.30,
40.2175,2606.63,
40.6064,2606.01,
40.8135,2606.43,
41.0205,2606.60,
41.4094,2606.00,
41.6165,2606.56,
42.0054,2605.98,
42.2124,2606.17,
42.4195,2606.56,
42.8084,2606.03,
43.0154,2606.21,
43.2225,2606.47,
43.4044,2606.09,
43.6114,2606.13,
43.8184,2606.18,
44.2074,2606.12,
44.4144,2606.10,
44.6214,2606.31,
44.8034,2605.94,
45.0104,2606.15,
45.2174,2606.20,
45.6064,2606.10,
45.8134,2606.23,
46.0204,2606.17,
46.4094,2606.17,
46.6164,2606.19,
47.0054,2606.17,
47.2124,2606.15,
47.4194,2606.09,
47.8084,2606.17,
48.0154,2606.14,
48.2224,2606.18,
48.4043,2606.17,
48.6114,2606.13,
48.8184,2606.10,
49.2073,2606.12,
49.4144,2606.11,
49.6214,2606.52,
49.8033,2606.15,
50.0103,2606.03,
50.2174,2606.68,
50.6063,2606.14,
50.8133,2606.14,
50.9206,2606.91,
