Tuolumne Meadows Survey Date [yyyy-mm-dd], Tuolumne Meadows SWE [mm]
1970-02-03,  333
1970-03-30,  361
1971-02-01,  432
1971-03-30,  544
1972-01-31,  427
1972-03-30,  295
1973-01-30,  434
1973-03-27,  729
1973-05-01,  513
1974-01-28,  442
1974-03-26,  551
1975-01-28,  185
1975-02-24,  378
1975-03-26,  615
1975-04-25,  734
1975-05-28,  312
1976-02-20,   79
1976-03-24,  122
1976-04-28,    0
1977-01-23,   66
1977-02-24,   99
1977-03-22,   97
1978-01-25,  599
1978-02-22,  869
1978-03-29,  968
1978-04-24, 1001
1979-01-24,  300
1979-02-26,  559
1979-03-29,  620
1979-04-27,  490
1980-01-24,  457
1980-02-25,  747
1980-03-25,  881
1980-04-23,  754
1981-02-22,  318
1981-03-29,  399
1982-01-30,  597
1982-02-21,  686
1982-03-25,  798
1982-04-26,  884
1983-02-02,  792
1983-03-01, 1133
1983-03-24, 1290
1983-04-29, 1328
1983-05-23, 1151
1984-01-30,  533
1984-02-27,  650
1984-03-27,  597
1984-04-27,  429
1985-01-30,  330
1985-02-28,  381
1985-03-25,  445
1985-04-26,  259
1986-01-28,  318
1986-03-01,  932
1986-03-31,  942
1986-04-25,  706
1987-01-27,   81
1987-03-01,  224
1987-04-01,  279
1987-04-27,    0
1988-01-27,  307
1988-02-26,  302
1988-03-30,  196
1988-05-01,    0
1989-01-31,  312
1989-02-27,  391
1989-03-31,  411
1989-04-28,   71
1990-01-31,  180
1990-02-26,  300
1990-03-28,  305
1990-04-25,    0
1991-01-28,   56
1991-02-27,   30
1991-03-26,  371
1991-04-30,  262
1992-01-27,  132
1992-02-25,  254
1992-03-26,  290
1992-04-26,    0
1993-01-26,  574
1993-02-25,  846
1993-03-26,  980
1993-04-29,  818
1994-01-27,  122
1994-02-27,  300
1994-03-26,  277
1994-04-30,    0
1995-01-25,  706
1995-02-22,  671
1995-03-29, 1128
1995-04-25, 1082
1996-01-30,  394
1996-02-24,  607
1996-03-26,  732
1996-04-24,  660
1997-01-27,  907
1997-02-24,  960
1997-03-25,  818
1997-04-27,  488
1998-01-26,  384
1998-02-27,  884
1998-03-27,  955
1998-04-24,  965
1999-01-27,  384
1999-02-25,  655
1999-03-29,  627
1999-04-25,  625
2000-01-29,  241
2000-02-26,  505
2000-03-28,  592
2000-05-01,  168
2001-01-28,  163
2001-02-27,  391
2001-03-29,  432
2001-04-25,  279
2002-01-28,  442
2002-02-25,  490
2002-03-26,  538
2002-04-29,  185
2003-01-29,  389
2003-03-01,  457
2003-03-29,  470
2003-04-29,  513
2004-01-28,  442
2004-02-26,  632
2004-03-27,  493
2004-04-30,   36
2005-01-27,  632
2005-02-24,  742
2005-03-28,  869
2005-04-27,  805
2006-01-30,  610
2006-02-27,  643
2006-03-29,  831
2006-04-27, 1021
2007-01-26,  132
2007-02-24,  305
2007-03-26,  213
2007-04-27,    0
2008-01-25,  356
2008-02-26,  658
2008-03-30,  559
2008-04-30,  226
2009-01-26,  231
2009-02-24,  414
2009-03-26,  536
2009-04-25,  302
2010-01-27,  381
2010-02-26,  508
2010-03-27,  587
2010-04-30,  643
2011-02-01,  541
2011-03-01,  711
2011-04-01,  991
2011-05-01,  899
2012-02-01,  136
2012-03-01,  164
2012-04-01,  213
2012-05-01,    3
2013-02-01,  432
2013-03-01,  432
2013-04-01,  371
2013-05-01,    0
2014-02-01,   38
2014-03-01,  152
2014-04-01,  152
2014-05-01,    0
2015-01-27,   64
2015-02-26,   25
2015-03-27,    0
2015-04-24,    0
